"StockDatabaseID","StockKey","stock","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","year","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
1600,169075,"cod.27.22-24","Cod (Gadus morhua) in subdivisions 22-24, western Baltic stock (western Baltic Sea)",136508,"cod-2224",2018,"Gadus morhua","Cod","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group","1",2018,1,2019,"Age-structured model (SAM)",NA,"MP","Catches","Assessment","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","8.3.1",9830,"2018-11-14T09:18:29.297+01:00"
1601,169076,"cod.27.24-32","Cod (Gadus morhua) in subdivisions 24-32, eastern Baltic stock (eastern Baltic Sea)",136509,"cod-2532",2018,"Gadus morhua","Cod","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group","3",2018,1,2019,"Survey trends-based assessment",NA,"PA","Catches","Advice","Yes in year(s) 2015, 2018","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","8.3.3",9479,"2018-11-14T09:19:36.533+01:00"
1602,169077,"cod.27.47d20","Cod (Gadus morhua) in Subarea 4, Division 7.d, and Subdivision 20 (North Sea, eastern English Channel, Skagerrak)",136510,"cod-347d",2018,"Gadus morhua","Cod","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2018,1,2019,"Age-structured model (SAM)",NA,"MSY","Catches","","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","6.3.3",9940,"2018-12-07T11:50:39.81+01:00"
1603,169078,"cod.27.7e-k","Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas)",136511,"cod-7e-k",2018,"Gadus morhua","Cod","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1",2018,1,2019,"Age-structured model (XSA), uses landings in the model and in the forecast",NA,"MSY","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.5",9883,"2018-11-14T09:22:15.94+01:00"
1604,169080,"cod.27.1-2coast","Cod (Gadus morhua) in subareas 1 and 2 (Norwegian coastal waters cod)",136513,"cod-coas",2018,"Gadus morhua","Cod","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","3",2018,1,2019,"Based on survey SSB survey index and estimates of F and relative recuitment from an exploratory VPA assessment",NA,"MP","Fishing mortality","not used","No","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","3.3.4",9915,"2018-05-28T11:50:22.823+01:00"
1605,169081,"cod.27.5b2","Cod (Gadus morhua) in Subdivision 5.b.2 (Faroe Bank)",136515,"cod-farb",2018,"Gadus morhua","Cod","Faroes Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","3.8",2016,3,2019,"Survey trends-based assessment",NA,"PA","Catches","not used","No","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","4.3.2",NA,"2017-11-14T13:28:20.19+01:00"
1606,169083,"cod.27.5a","Cod (Gadus morhua) in Division 5.a (Iceland grounds)",136517,"cod-iceg",2018,"Gadus morhua","Cod","Greenland Sea Ecoregion, Iceland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2017,2,2019,"Age-structured model, forward-based statistical catch-at-age model that is implemented in the AD Model Builder, using catches in the model and in the forecast",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","2.3.2",9659,"2017-11-24T12:18:46.75+01:00"
1607,169087,"cod.27.6b","Cod (Gadus morhua) in Division 6.b (Rockall)",136520,"cod-rock",2018,"Gadus morhua","Cod","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","6.2",2017,3,2020,"no assessment",NA,"PA","Catches","not used","Yes in year(s) 2017","demersal piscivore","Demersal","large demersal",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.16",NA,"2018-11-14T09:21:21.223+01:00"
1608,169088,"cod.27.6a","Cod (Gadus morhua) in Division 6.a (West of Scotland)",136521,"cod-scow",2018,"Gadus morhua","Cod","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1.2",2017,2,2019,"Age-structured model (TSA), uses catches in the model and in the forecast",NA,"MSY","No directed fisheries","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.12",9926,"2018-11-14T09:21:00.023+01:00"
1609,169091,"cyo.27.nea","Portuguese dogfish (Centroscymnus coelolepis, Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136522,"cyo-nea",2018,"Centrophorus squamosus, Centroscymnus coelolepis","Portuguese dogfish","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2015,4,2019,"no assessment",NA,"PA","No directed fisheries","not used","No","bathydemersal piscivore","Elasmobranch","large sharks",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.19",NA,"2018-11-14T09:23:22.69+01:00"
1610,169092,"dab.27.22-32","Dab (Limanda limanda) in subdivisions 22-32 (Baltic Sea)",136524,"dab-2232",2018,"Limanda limanda","Dab","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group","3.2",2017,3,2020,"Survey trends-based assessment",NA,"PA/Stock status only","Catches","Advice","No","demersal benthivore","Benthic","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","8.3.4",NA,"2018-11-15T11:55:11.727+01:00"
1611,169093,"dab.27.3a4","Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",136525,"dab-nsea",2018,"Limanda limanda","Dab","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","3.2",2017,3,2020,"Survey trends-based assessment",NA,"PA/Stock status only","Catches","topped up","No","demersal benthivore","Benthic","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","6.3.4",NA,"2018-11-14T09:24:40.957+01:00"
1612,169094,"dgs.27.nea","Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136526,"dgs-nea",2018,"Squalus acanthias","Spurdog","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","1.2",2018,2,2020,"Age- and length-structured model, with separate sexes",NA,"MSY/PA","No directed fisheries","The annual discards in the period 2010-2017 in the assessment are assumed as the difference between the assumed catches and reported landings.","NA","demersal piscivore","Elasmobranch","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.12",10262,"2022-02-21T12:33:32.28+01:00"
1613,169101,"gag.27.nea","Tope (Galeorhinus galeus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136530,"gag-nea",2018,"Galeorhinus galeus","Tope","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2017,2,2019,"no assessment",NA,"PA","Landings","not used","Yes in year(s) 2015","demersal piscivore","Elasmobranch","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.15",NA,"2018-11-14T09:49:06.217+01:00"
1614,169102,"gfb.27.nea","Greater forkbeard (Phycis blennoides) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136531,"gfb-comb",2018,"Phycis blennoides","Greater forkbeard","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","3.2",2018,2,2020,"Survey trends-based assessment",NA,"PA","Landings","not used","Yes in year(s) 2016","benthopelagic benthivore","Demersal","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.20",9459,"2018-11-14T09:50:08.973+01:00"
1615,169103,"ghl.27.1-2","Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic)",136532,"ghl-arct",2018,"Reinhardtius hippoglossoides","Greenland halibut","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2017,2,2019,"Age- and length-structured model (Gadget)",NA,"PA","Catches","not used","NA","pelagic piscivore","Benthic","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","3.3.5",NA,"2018-05-28T14:27:22.43+01:00"
1616,169104,"ghl.27.561214","Greenland halibut (Reinhardtius hippoglossoides) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)",136533,"ghl-grn",2018,"Reinhardtius hippoglossoides","Greenland halibut","Arctic Ocean Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2018,1,2019,"probabilistic (Bayesian) version of a surplus production model",NA,"MSY","Catches","not used","NA","pelagic piscivore","Benthic","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","2.3.6",9936,"2018-11-15T11:32:59.18+01:00"
1617,169105,"gug.27.3a47d","Grey gurnard (Eutrigla gurnardus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)",136534,"gug-347d",2018,"Eutrigla gurnardus","Grey gurnard","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","3.2",2018,2,2020,"Survey trends-based assessment",NA,"PA/Stock status only","Catches","","No","demersal piscivore","Demersal","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","6.3.6",9825,"2018-11-14T09:51:45.427+01:00"
1618,169106,"guq.27.nea","Leafscale gulper shark (Centrophorus squamosus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136538,"guq-nea",2018,"Centrophorus squamosus","Leafscale gulper shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2015,4,2019,"no assessment",NA,"PA","Fishing mortality","not used","No","na","Elasmobranch","na",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.11",NA,"2018-11-14T09:52:38.85+01:00"
1619,169109,"had.27.7b-k","Haddock (Melanogrammus aeglefinus) in Divisions 7.b-k (southern Celtic Seas and English Channel)",136540,"had-7b-k",2018,"Melanogrammus aeglefinus","Haddock","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1",2018,1,2019,"Age-structured model (ASAP), uses catches in the model and in the forecast",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.24",9868,"2018-11-14T09:56:25.34+01:00"
1620,169110,"had.27.1-2","Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)",136541,"had-arct",2018,"Melanogrammus aeglefinus","Haddock","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2018,1,2019,"Age based analytical assessment (SAM)that uses landings in the model and in the forecast",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-02-21T12:44:45.287+01:00","3.3.6",9910,"2018-09-07T14:45:02.107+01:00"
1621,169095,"ele.2737.nea","European eel (Anguilla anguilla) throughout its natural range",136527,"ele-nea",2018,"Anguilla anguilla","Eel","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEEL","Joint EIFAAC/ICES/GFCM Working Group on Eels","ADGEEL","Eel Advice Drafting GRoup","3.14",2018,1,2019,"Trends-based assessment",NA,"PA","No directed fisheries","Not used","No","demersal benthivore","Demersal","medium demersal",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.13",10209,"2018-11-15T11:33:37.447+01:00"
1622,169171,"nep.27.4outFU","Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)",169658,"nep-oth-4",2018,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","5.2",2017,3,2020,"no assessment",NA,"PA","Catches","not used","Yes in year(s) 2015","crustacean","Crustacean","crustacean",TRUE,"2022-02-21T12:44:45.287+01:00","6.3.25",NA,"2018-11-14T10:27:48.357+01:00"
1623,169172,"nep.27.6aoutFU","Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)",169659,"nep-oth-6a",2018,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","5.2",2017,3,2020,"no assessment",NA,"PA",NA,"not used","Yes in year(s) 2017","crustacean","Crustacean","crustacean",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.29",NA,"2018-11-14T10:28:31.967+01:00"
1624,169173,"nep.27.7outFU","Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)",169660,"nep-oth-7",2018,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","5.2",2017,3,2020,"no assessment",NA,"PA",NA,"not used","Yes in year(s) 2017","crustacean","Crustacean","crustacean",TRUE,"2022-02-21T12:44:45.287+01:00","5.3.28",NA,"2018-11-14T10:29:00.537+01:00"
1625,169244,"sal.27.nea","Salmon (Salmo salar) in Northeast Atlantic and Arctic Ocean",136681,"sal-nea",2018,"Salmo salar","Salmon","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGNAS","Working Group on North Atlantic Salmon","RG/ADGSalmon","Salmon Review and Advice Drafting Group","1",2018,1,2019,"Analytical model, run-reconstruction models and Bayesian forecasts, taking into account uncertainties in data and process error (results presented in a risk analysis framework)",NA,"MSY/PA","Catches","Not used","NA","pelagic piscivore","Pelagic","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","10.3.3",NA,"2018-12-11T10:15:54.903+01:00"
1626,169245,"sal.2127.1a-f14","Salmon (Salmo salar) in Subarea 14 and NAFO division 1 (east and west of Greenland)",NA,"sal-wgc",2018,"Salmo salar","Salmon","Greenland Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGNAS","Working Group on North Atlantic Salmon","RG/ADGSalmon","Salmon Review and Advice Drafting Group","1",2018,1,2019,"Analytical model, run reconstruction models and Bayesian forecasts, taking into account uncertainties in the data",NA,"MSY/PA","Catches","Not used","NA","pelagic piscivore","Pelagic","large benthopelagic",TRUE,"2022-02-21T12:44:45.287+01:00","10.3.2",NA,"2018-12-11T10:14:50.06+01:00"
1627,169047,"agn.27.nea","Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136481,"agn-nea",2018,"Squatina squatina","Angel shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2015,4,2019,"no assessment",NA,"PA","No directed fisheries","not used","No","demersal piscivore","Elasmobranch","large sharks",TRUE,"2022-02-21T12:44:45.287+01:00","9.3.1",NA,"2018-11-14T08:58:02.61+01:00"
